algo,frac,time,percall,rate,n_actions
merge3,0.000001,0.000092,0.000031,32682.888312,1
merge2,0.000001,0.000070,0.000023,42653.938983,1
merge1,0.000001,0.000060,0.000020,50131.123506,1
merge3,0.000001,0.000069,0.000023,43539.487889,2
merge2,0.000001,0.000095,0.000032,31615.356784,2
merge1,0.000001,0.000083,0.000028,36157.793103,2
merge3,0.000001,0.000094,0.000031,31936.324873,3
merge2,0.000002,0.000178,0.000059,16844.594378,3
merge1,0.000002,0.000124,0.000041,24197.907692,3
merge3,0.000002,0.000128,0.000043,23475.582090,4
merge2,0.000005,0.000380,0.000127,7898.877589,4
merge1,0.000003,0.000256,0.000085,11705.034419,4
merge3,0.000002,0.000166,0.000055,18078.896552,5
merge2,0.000010,0.000820,0.000273,3657.823256,5
merge1,0.000006,0.000513,0.000171,5849.796374,5
merge3,0.000003,0.000205,0.000068,14648.325960,6
merge2,0.000023,0.001821,0.000607,1647.409269,6
merge1,0.000017,0.001384,0.000461,2167.598966,6
merge3,0.000006,0.000445,0.000148,6743.254019,7
merge2,0.000055,0.004429,0.001476,677.374677,7
merge1,0.000044,0.003535,0.001178,848.705787,7
merge3,0.000004,0.000323,0.000108,9293.140325,8
merge2,0.000116,0.009245,0.003082,324.502579,8
merge1,0.000100,0.007966,0.002655,376.598587,8
merge3,0.000005,0.000400,0.000133,7498.755662,9
merge2,0.000258,0.020663,0.006888,145.185213,9
merge1,0.000242,0.019346,0.006449,155.072737,9
merge3,0.000004,0.000304,0.000152,6584.464678,10
merge2,0.000367,0.029368,0.014684,68.100959,10
merge1,0.000745,0.059617,0.029809,33.547454,10
merge3,0.000005,0.000381,0.000190,5249.441802,11
merge2,0.000811,0.064907,0.032453,30.813396,11
merge1,0.001274,0.101968,0.050984,19.613987,11
merge3,0.000005,0.000423,0.000211,4728.640361,12
merge2,0.001815,0.145266,0.072633,13.767841,12
merge1,0.002999,0.239956,0.119978,8.334865,12
merge3,0.000006,0.000482,0.000241,4148.668645,13
merge2,0.003985,0.318890,0.159445,6.271753,13
merge1,0.007504,0.600459,0.300230,3.330785,13
merge3,0.000007,0.000570,0.000285,3508.409870,14
merge2,0.008667,0.693557,0.346779,2.883685,14
merge1,0.017426,1.394384,0.697192,1.434325,14
merge3,0.000004,0.000303,0.000303,3297.408805,15
merge2,0.009386,0.751076,0.751076,1.331424,15
merge1,0.021853,1.748649,1.748649,0.571870,15
merge3,0.000004,0.000357,0.000357,2799.935915,16
merge2,0.020734,1.659095,1.659095,0.602738,16
merge1,0.052723,4.218871,4.218871,0.237030,16
