n_action_pairs,new_duration,old_duration
1,6.389617919921875e-05,3.0994415283203125e-05
2,5.698204040527344e-05,3.933906555175781e-05
3,9.202957153320312e-05,6.985664367675781e-05
4,0.00021004676818847656,0.0001289844512939453
5,0.0005197525024414062,0.0003039836883544922
6,0.0009920597076416016,0.0006520748138427734
7,0.0019559860229492188,0.0015549659729003906
8,0.004526853561401367,0.0039730072021484375
9,0.008946895599365234,0.007758140563964844
10,0.01720118522644043,0.017863035202026367
11,0.03271317481994629,0.04987192153930664
12,0.06974577903747559,0.12710881233215332
13,0.15246176719665527,0.3047780990600586
14,0.3406670093536377,0.7042748928070068
15,0.7529621124267578,1.659160852432251
16,1.5884270668029785,3.8428919315338135
17,3.4351351261138916,9.74575161933899
18,9.567753076553345,24.213869094848633
19,19.698415994644165,49.45085000991821
20,44.46755409240723,126.58399701118469
